timestamp,track_id,class_name,distance_m,status
2026-07-23 21:07:46,1,person,1.08,CRITICAL
2026-07-23 21:05:41,4,cell phone,2.17,WARNING
2026-07-23 21:05:43,5,cell phone,2.2,WARNING
2026-07-23 21:05:46,8,tv,1.03,CRITICAL
2026-07-23 21:05:46,10,tv,1.1,CRITICAL
2026-07-23 21:06:01,-1,elephant,2.44,WARNING
2026-07-23 21:06:04,13,elephant,1.62,WARNING
2026-07-23 21:06:04,14,elephant,3.37,SAFE
2026-07-23 21:06:31,16,cell phone,1.01,SAFE
2026-07-23 21:06:31,17,car,6.86,SAFE
2026-07-23 21:06:31,22,person,1.16,CRITICAL
2026-07-23 21:06:31,23,car,9.6,SAFE
2026-07-23 21:06:31,24,car,8.35,SAFE
2026-07-23 21:06:31,25,car,8.47,SAFE
2026-07-23 21:06:31,26,car,9.29,SAFE
2026-07-23 21:06:30,27,car,7.48,SAFE
2026-07-23 21:07:03,34,cell phone,0.81,CRITICAL
2026-07-23 21:07:03,35,bird,6.06,SAFE
2026-07-23 21:07:02,39,person,0.96,CRITICAL
2026-07-23 21:07:03,40,airplane,5.76,SAFE
2026-07-23 21:07:02,43,bird,8.11,SAFE
2026-07-23 21:07:03,45,airplane,3.41,SAFE
2026-07-23 21:07:01,46,airplane,10.0,SAFE
2026-07-23 21:07:25,49,cell phone,0.81,CRITICAL
2026-07-23 21:07:25,50,bird,1.91,WARNING
2026-07-23 21:07:24,51,bird,2.78,WARNING
2026-07-23 21:07:23,53,bird,6.47,SAFE
2026-07-23 21:07:41,58,cat,2.27,WARNING
2026-07-23 21:07:41,59,cat,2.91,WARNING
2026-07-23 21:07:41,60,cat,4.92,SAFE
2026-07-23 21:07:41,66,refrigerator,0.81,CRITICAL
2026-07-23 21:07:41,72,cat,5.59,SAFE
